,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格
50,曲中居民宿 ,南庄鄉,7.7,622,1247
51,喫茶居 ,公館鄉,9.6,18,2840
52,慕哲哈比屋 ,三義鄉,8.9,250,1939
53,苗栗桐馨莊園民宿 ,公館鄉,8.9,46,2511
54,苗栗三義正在旅行民宿 ,三義鄉,8.7,161,1645
55,桂築林庭園民宿 ,南庄鄉,8.9,313,1558
56,向陽田園 ,三義鄉,8.6,296,1818
57,米南山研汽車旅館 ,苗栗市,7.7,117,1628
58,思達卜Stop Hostel,竹南鎮,9.8,10,760
59,東園大飯店 ,頭份鎮,8.6,121,2104
60,山田民宿 ,南庄鄉,9.1,103,2338
61,南庄拾光民宿,南庄鄉,9.6,47,3117
62,公館田庄二館 ,公館鄉,8.4,61,2078
63,仙山農園民宿 ,獅潭鄉,7.3,116,2435
64,苗栗三義薄霧館樓中樓民宿 ,三義鄉,8.2,693,3896
65,玉荷園  ,南庄鄉,8.2,113,2348
66,力新小築民宿  ,南庄鄉,8.5,227,1558
67,苗栗三義杉桐雅築民宿 ,三義鄉,8.3,388,2139
68,巨缿民宿,三義鄉,8.1,66,4143
69,Pas-Taai Leisure Farm蓬萊生態農場仙山民宿,南庄鄉,7.6,162,1905
70,栗田庄渡假莊園民宿 ,南庄鄉,7.7,161,2862
71,春谷養鱒休閒農場 ,南庄鄉,7.3,84,1732
72,官媽民宿 ,苗栗市,9.9,4,1039
73,福軒養生館 ,三義鄉,8.3,256,2435
74,石壁彩虹民宿 ,南庄鄉,8.6,99,1385
75,三義微微風風格民宿 ,三義鄉,7.6,154,1309
76,石濤園 ,三義鄉,8.7,159,1043
77,杉林松境休閒農場,南庄鄉,8.5,142,1905
78,光角背包客旅店 Da Cag Giog Hostel,南庄鄉,9.2,32,843
79,欣園民宿  ,通霄鎮,8.1,15,2165
80,翡翠金鑽酒店式民宿 ,竹南鎮,8.1,101,1999
81,宜家園   ,南庄鄉,8.1,167,2165
82,旅人藝棧 ,三義鄉,8.7,171,1478
83,三義-食旅山嵐,三義鄉,9.1,7,1732
84,燕子陶 陶藝咖啡民宿 ,南庄鄉,9.7,14,4087
85,頭份鎮的1臥室公寓 - 5平方公尺/1間專用衛浴 ,頭份鎮,no info,no info,1316
86,月心汽車旅館 ,苗栗市,6.8,328,1472
87,樂福民宿 ,三義鄉,8.7,123,1905
88,"n奇幻山丘 露營車NO1 NO2 不能攜帶寵物,需匯款訂房才生效",苑裡鎮,8.1,14,1714
89,泰莉莎旅店 ,頭份鎮,6.0,230,1196
90,陶然山莊,南庄鄉,0.0,0,2815
91,小樹的家咖啡民宿 ,銅鑼鄉,9.3,97,1991
92,馨雅民宿 ,三義鄉,8.8,79,1732
93,銅鑼鄉的1臥室別墅 - 320平方公尺/1間專用衛浴 ,銅鑼鄉,9.0,2,1887
94,銅鑼鄉的1臥室別墅 - 320平方公尺/1間專用衛浴 ,銅鑼鄉,9.0,2,1887
95,眉山居民宿 ,南庄鄉,8.6,131,1732
96,小樹枋民宿 ,三義鄉,9.9,6,2771
97,三義甘丹民宿 ,三義鄉,9.1,200,3023
98,安禾居民宿AnHe Ju B&B,苗栗市,8.0,108,1607
99,新之住民宿 ,南庄鄉,9.0,6,2597
100,戀空民宿   ,造橋鄉,9.1,21,2762
101,響銅鑼客棧 ,銅鑼鄉,8.8,124,2494
102,三義包棟民宿柏竺山莊Bozhu villa,三義鄉,8.6,104,1991
103,興隆幸福小屋 ,銅鑼鄉,8.4,48,1143
104,水頭人家  ,大湖鄉,9.1,13,2511
105,春谷養鱒休閒農場 ,南庄鄉,8.1,181,1732
106,黃石山莊 ,三義鄉,8.7,136,1299
107,兔子跳跳親子民宿 ,頭份鎮,9.2,1,4495
108,南庄春友彩虹民宿 ,南庄鄉,7.9,341,1913
109,三船香墅 ,西湖鄉,8.5,3,952
110,頭份鎮的1臥室公寓 - 8平方公尺/0間專用衛浴 ,頭份鎮,no info,no info,1302
111,Sanyi Blossom Art Village Holiday Club,三義鄉,9.2,1,1092
112,緩慢尋路三義綠波浪 ,三義鄉,8.6,253,4502
113,好望角民宿  ,通霄鎮,8.9,60,2435
114,翡翠金鑽 1館 ,竹南鎮,8.4,91,2095
115,頭份鎮的1臥室公寓 - 6平方公尺/0間專用衛浴 ,頭份鎮,no info,no info,1316
116,Zhuo Ye Cottage,三義鄉,no info,no info,2424
117,官媽民宿 ,苗栗市,10.0,5,1417
118,綠意山莊 ,苑裡鎮,9.0,67,3463
